tAB	nAB	tAC	nAC	tBC	nBC	ChA	ChB
0.00	0.00	0.00	0.00	0.00	0.00	16678069.00	17399992.00
0.00	0.00	0.00	0.00	0.00	0.00	16711649.00	17491019.00
0.00	0.00	0.00	0.00	0.00	0.00	16777023.00	17635515.00
0.00	0.00	0.00	0.00	0.00	0.00	16816030.00	17721825.00
0.00	0.00	0.00	0.00	0.00	0.00	16851368.00	17760307.00
0.00	0.00	0.00	0.00	0.00	0.00	17077344.00	17811726.00
0.00	0.00	0.00	0.00	0.00	0.00	17238326.00	17827906.00
0.00	0.00	0.00	0.00	0.00	0.00	17266961.00	17849315.00
0.00	0.00	0.00	0.00	0.00	0.00	17575624.00	17849969.00
0.00	0.00	0.00	0.00	0.00	0.00	17579138.00	17854756.00
0.00	0.00	0.00	0.00	0.00	0.00	17644829.00	18071632.00
0.00	0.00	0.00	0.00	0.00	0.00	17697460.00	18113920.00
0.00	0.00	0.00	0.00	0.00	0.00	17708886.00	18115094.00
0.00	0.00	0.00	0.00	0.00	0.00	17769724.00	18138780.00
0.00	0.00	0.00	0.00	0.00	0.00	17837199.00	18183140.00
0.00	0.00	0.00	0.00	0.00	0.00	17840165.00	18209725.00
0.00	0.00	0.00	0.00	0.00	0.00	17864663.00	18220225.00
0.00	0.00	0.00	0.00	0.00	0.00	17894590.00	18223362.00
0.00	0.00	0.00	0.00	0.00	0.00	17957299.00	18252514.00
0.00	0.00	0.00	0.00	0.00	0.00	18223800.00	18292988.00
0.00	0.00	0.00	0.00	0.00	0.00	18280410.00	18324081.00
0.00	0.00	0.00	0.00	0.00	0.00	18343583.00	18621861.00
0.00	0.00	0.00	0.00	0.00	0.00	18695332.00	18638551.00
0.00	0.00	0.00	0.00	0.00	0.00	18935818.00	18703746.00
0.00	0.00	0.00	0.00	0.00	0.00	18955959.00	18921545.00
0.00	0.00	0.00	0.00	0.00	0.00	18960513.00	18941878.00
0.00	0.00	0.00	0.00	0.00	0.00	18978668.00	18981514.00
0.00	0.00	0.00	0.00	0.00	0.00	18981087.00	19047298.00
