	chA	chB
1360992	117701293358	100445953567
777762	67306021691	57529108129
995908	86164692208	73628084288
406621	35287516265	30285793532
449217	38908520575	33255743149
758602	65612861230	56183562038
371976	32306435353	27691155965
81446	7204733258	6124247024
1186904	102817316889	87355929629
170573	14898032231	12727967157
952609	82504539985	70351617309
326418	28361213970	24138890831
285103	24771928882	20984022181
565870	49052208815	41642807535
1526227	0	112234861510
236588	20533847243	17435481055
1307586	113072752719	96443992184
884527	76694931231	65169814964
1032370	89232421722	76343532669
1481700	0	109068387683
897279	77779037352	66118385758
1505560	0	110771673877
1573083	0	115619581397
21294	1857161139	1535343394
237089	20574028251	17464640567
1651804	0	121487541923
1562962	0	114883719663
917700	79512627232	67671244734
1059435	91579126049	78310310272
517686	44831357834	38143987533
1515141	0	111438027855
1383262	119641263541	102044539889
1247064	107972691493	91790618669
1108872	95970141141	81836234240
153939	13453140378	11578325861
1358991	117522724998	100310935937
1292878	111806233989	95305663737
1274068	110231299208	93861002937
1068194	92342493889	78922581001
514333	44532376818	37914892178
422951	36682233743	31422018082
962933	83386967691	71137418615
835652	72440921534	61619257397
570465	49455064397	41978694956
1423475	123229308582	104893055423
1673784	0	123159581191
1456239	126173655230	107256778132
1127999	97715784572	83164654154
410451	35628829521	30551130103
274623	23853773096	20197571606
967785	83790818473	71507549647
1400104	121143374178	103228782267
734115	63511707297	54422360782
469002	40593583148	34650771559
518415	44886275072	38204684304
994260	86017379483	73510345119
1306965	113013470026	96388419408
582197	50450027702	42848101496
1362835	117853893296	100577843041
1657720	0	121940597550
